City_ID,City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
592,592,Yulara,AU,68.0,scattered clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
594,594,Lawrenceburg,US,35.01,light snow,38.0373,-84.8966,Best Western Lawrenceburg Inn
603,603,Marsh Harbour,BS,69.55,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
604,604,Key West,US,69.01,scattered clouds,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
606,606,Yate,GB,48.0,overcast clouds,51.5407,-2.4184,The Moda House
608,608,Machacamarca,BO,55.4,light rain,-18.1667,-67.0333,Fmilia. Flores DanNorm
609,609,Kaeo,NZ,57.99,clear sky,-35.1,173.7833,Bushido Lodge
613,613,Ishigaki,JP,64.47,overcast clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
615,615,Asau,RO,18.0,light snow,46.4333,26.4,Casa Mika Ciobanus
616,616,Besikduzu,TR,46.4,broken clouds,41.052,39.2284,YKT
622,622,Goderich,CA,32.0,scattered clouds,43.7501,-81.7165,Harmony Inn
623,623,Port Pirie,AU,64.4,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
626,626,Sakaiminato,JP,39.2,light rain,35.55,133.2333,味処・民宿 まつや
628,628,Ankara,TR,35.6,broken clouds,39.9199,32.8543,Sheraton Ankara Hotel & Convention Center
637,637,Mehamn,NO,37.4,scattered clouds,71.0357,27.8492,Mehamn Arctic Hotel AS
638,638,Iranshahr,IR,68.0,clear sky,27.2025,60.6848,نیک سرشت
640,640,Bagotville,AU,68.0,overcast clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
644,644,Mahon,ES,51.8,few clouds,39.8885,4.2658,ARTIEM Capri
645,645,Devils Lake,US,19.4,overcast clouds,48.1128,-98.8651,Holiday Inn Express Devils Lake
646,646,Sarahan,IN,43.38,clear sky,31.5167,77.8,The Bushahr Heights
648,648,Lapua,FI,25.0,overcast clouds,62.9693,23.0088,Ravintola TexWilder
649,649,Half Moon Bay,US,53.01,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
650,650,Kragero,NO,19.0,clear sky,58.8693,9.4149,Kragerø Sportell and Apartments
